order_id,user_id,商品名称,price,quantity,order_time,支付状态,address
ORD001,U1001,iPhone 15,5999,1,2023-11-01 10:30:00,已支付,北京市朝阳区建国路88号
ORD002,U1002,无线鼠标,59,2,2023/11/01 11:00:00,已支付,上海市浦东新区陆家嘴环路1000号
ORD003,U1003,机械键盘,-150,1,2023-11-01 12:15:00,未支付,广东省深圳市南山区科技园路123号
ORD001,U1001,iPhone 15,5999,1,2023-11-01 10:30:00,已支付,北京市朝阳区建国路88号
ORD004,U1004,Type-C数据线,,1,2023-11-02 09:00:00,已支付,浙江省杭州市西湖区文一西路123号
ORD005,,智能手表,1999,1,2023-11-02 10:00:00,已支付,江苏省南京市玄武区中山路18号
ORD006,U1006,4K显示器,2999,1,2023/11/02 14:30:00,已支付,四川省成都市武侯区天府大道中段123号
ORD007,U1007,蓝牙耳机,129,1,2023-11-03 08:45:00,已支付,湖北省武汉市江汉区建设大道568号
ORD008,U1008,USB扩展坞,99999,1,2023-11-03 09:30:00,未支付,陕西省西安市雁塔区科技路123号
ORD009,U1009,手机壳,29,3,2023/11/03 16:20:00,已支付,
ORD010,U1010,平板电脑,3500,1,2023-11-04 11:10:00,已支付,重庆市渝中区解放碑步行街123号





















