id,姓名,性别,年龄,城市,部门,职级,入职日期,离职日期,工作年限,基本工资,绩效奖金,交通补贴,社保缴纳基数,是否缴纳社保,绩效评分,sales_amount,客户满意度,本月出勤天数,是否在职,联系电话,邮箱
EMP1049,吴十,男,30.506691404835117,西安,技术部,P3,2015-12-29,,8.5,8702.865769284994,2790.878063705939,708.2894433766709,9729.67811686106,True,79.7004740498712,5.0,6.415438242775674,27.0,True,15201281557,lisi3@outlook.com
EMP1054,孙八,女,30.56993266688714,杭州,市场部,P2,2017-01-22,2019-12-04,7.4,10414.417919294181,3095.2905000116916,985.0783178834163,12473.122292355745,True,84.58027778916505,7.0,9.827523109380552,35.0,,17756783995,zhaoliu146@qq.com
EMP1049,朱二十,男,38.43792319859011,武汉市,人事部,P1,2016-11-13,,7.6,12130.831025075071,4719.784033126408,482.99193877102687,11823.748148847122,True,82.67204657245925,10.0,5.607206447984911,17.0,True,18439492674,wangwu232@outlook.com
EMP1092,褚十四,女,34.28088596503547,广州市,财务部,,2018-07-05,,-4.0,16140.51566470693,6670.294253069573,525.2263031692031,15586.750476563571,True,80.3000278630559,3.0,5.033065210286782,30.0,True,15760904107,wangwu338@qq.com
EMP1177,李四,男,29.436308117652743,杭州,技术部,P2,2021-10-01,,2.7,5000.0,,232.75809990368714,5046.527627472304,True,85.2158547768579,4.0,7.945589991847924,18.0,True,19894664845,wangwu786@163.com
EMP1003,王五,男,37.66247305595308,成都,运营部,P2,2015-02-11,,9.4,9614.329925626727,2857.3123629521856,834.4093764008683,8790.0504966224,True,85.57369758533753,11.0,7.750926120536876,30.0,True,13830448745,wangwu766@gmail.com
EMP1082,王五,女,30.775388037990815,广州,,P3,2018-02-16,,6.4,7385.068837102857,791.7650726008102,823.5498621048418,8519.232514031264,False,85.23080033476464,8.0,8.207410772739626,20.0,True,19385042337,wangwu58@outlook.com
EMP1167,李四,男,22.0,上海,技术部,P4,2021-05-14,,3.1,11691.130226128202,1877.1767096738818,,9376.937449003466,True,100.0,7.0,8.09765123842184,40.0,True,13694164665,zhaoliu353@outlook.com
EMP1142,卫十五,女,33.49064981570136,上海,财务部,P2,2018-09-12,,0.7999999999999998,5000.0,2392.3737879825226,551.4276931616191,3554.309531778679,True,62.84595365069168,11.0,8.445681303118683,18.0,True,19459905654,zhaoliu833@gmail.com
EMP1121,沈十七,男,22.0,上海,技术部,P2,2019-08-13,,4.9,13479.093748460225,5857.689228858109,613.8731837187547,10306.35048710838,True,79.3895858928172,10.0,7.7357814631503174,13.0,True,18131165166,lisi963@outlook.com
EMP1224,李四,女,37.96817062306572,西安,市场部,P3,2023-07-17,,1.0,12015.522466721628,2430.3375468422773,690.4060262874602,13066.226643158774,,999.0,-10.0,5.309334009507165,19.0,False,15540211187,zhaoliu766@gmail.com
,王五,女,24.510278903851926,成都,财务部,中级,2021-10-29,2025-11-09,2.7,10723.320341589622,4981.376128548822,523.312469848389,11792.552934625786,True,67.58186631995402,500.0,8.040313559992219,18.0,True,15692697161,wangwu251@company.com
EMP1174,孙八,男,34.3780670156233,西安,人事部,P1,2021-08-20,,2.9,11149.994541235339,1656.3179725940686,463.20567979168095,8341.275173777205,True,61.677772592754806,5.0,8.51641380580527,20.0,True,18751028618,lisi675@163.com
,王五,男,33.29407518696844,深圳,运营部,P4,2016年11月27日,,,12406.74158178919,2824.8924685800957,413.91246145980466,9802.57730184211,True,79.92028733449212,5.0,8.713292424748703,22.0,True,13592080329,user692@outlook.com
EMP1082,王五,男,28.52763381222179,上海,财务部,P2,2021-04-03,,3.2,11495.47295870462,1854.9687522787397,628.8636988142721,7542.904171429162,True,85.71112806802951,7.0,7.515802480466923,21.0,True,13994027897,user68@qq.com
EMP1177,李四,女,39.66612288204162,成都,运营部,P2,2017-07-08,,-3.0,16335.683866142434,3365.4598652929017,,10878.736808042084,True,78.84929162242673,5.0,8.576389249850058,13.0,False,19259014493,user854@outlook.com
EMP1032,朱二十,女,33.20768748046163,成都,产品部,P1,2016-03-21,,8.3,9733.956019074112,1921.35460152334,301.8731219571972,5368.2217277233385,True,67.85826056172729,9.0,7.854231177739946,19.0,True,13154318806,user745@qq.com
EMP1043,李四,男,36.7350927154634,成都,技术部,P2,2016-08-21,,7.9,7038.5829913961115,2792.8967550096036,586.9188337313565,100.0,False,84.1171957368172,8.0,8.43755162473046,-1.0,no,15173574218,zhaoliu94@qq.com
EMP1111,蒋十六,男,32.92590953348195,西安,产品部,P5,2019-03-26,2022-12-02,5.3,11677.17739113149,2906.7161527191315,328.43996148718225,13045.767272492518,True,83.43883014363779,10.0,8.734880192957617,20.0,True,18772966010,wangwu957@outlook.com
EMP1239,钱七,女,26.469910385432467,上海,财务部,P2,2024-02-11,,,5000.0,1278.8693601553464,100.0,5379.267745178613,True,65.16523929365466,9.0,5.528262116947893,21.0,0,13963968184,lisi755@qq.com
EMP1040,沈十七,男,24.175752422516773,深圳,人事部,P3,2016-07-11,,8.0,18599.13474496321,4379.969429299646,403.7078446934622,19027.97967361356,False,72.46964274481657,4.0,7.4956780710669735,17.0,True,19165452690,user441@163.com
EMP1084,朱二十,女,23.147194977707592,上海,人事部,P2,2018-03-15,,6.3,7601.410823802951,2008.2888285628746,,6607.294702594919,True,72.03620164009592,9.0,8.158146989853604,22.0,True,19224173718,zhangsan630@qq.com
EMP1010,孙八,男,,广州,销售部,P3,2015-05-20,2017-02-24,9.1,11611.475563369451,3445.951648363733,,11628.053736520616,True,68.96119587376404,7.0,5.894242537554506,31.0,True,19448059918,wangwu391@outlook.com
EMP1101,陈十三,女,44.22717256255842,深圳, 销售部,P3,2018-11-07,2020-06-30,5.6,8780.162319583444,1098.9513721797655,635.1219923006116,,True,89.8425305191366,11.0,7.74170257028553,31.0,True,19308773243,wangwu520@qq.com
EMP1119,蒋十六,男,31.04901698528229,广州市,人事部,P3,2019-07-16,2020-11-20,5.0,11402.274055955642,3994.632533873892,551.7420266947665,10687.242792836982,True,,7.0,7.62157498636319,19.0,True,18677909930,zhaoliu631@company.com
EMP1036,钱七,女,22.0,广州,财务部,P2,2016年05月16日,2021-07-03,,10471.091045735393,4017.950834844936,749.3091186462135,9742.639337746978,True,83.9636748241736,8.0,8.510649553130937,28.0,True,138-0013-8000,zhangsan623@gmail.com
EMP1218,王五,F,38.95750829985156,深圳,人事部,P1,2023-04-25,,1.2,9864.580282431863,2367.5263696256834,376.50256876832105,7116.927565109951,True,82.35712640449675,999.0,7.929264159777255,-1.0,True,15848933239,user231@gmail.com
EMP1110,沈十七,男,22.0,西安,产品部,P2,2019-03-13,,5.3,8121.9859766160425,1621.0733510575856,324.77405456856104,5550.764230699171,True,71.98498213178227,8.0,7.973108661922158,18.0,True,15784683755,user894@163.com
EMP1147,吴十,男,44.39117330953091,杭州,运营部,P1,2020-08-09,,3.9,16163.656331229495,2085.255956161644,404.99935227659125,15461.90802612904,True,90.77921289902986,12.0,7.063653758692673,11.0,False,18599154414,zhangsan688@qq.com
EMP1208,吴十,男,30.16498399292466,武汉,销售部,P1,2022-12-06,,1.6,14550.877988727665,1000000.0,464.79050079460967,0.1,True,77.06972922206926,9.0,9.684054388038309,15.0,False,18226128312,user234@outlook.com
EMP1056,沈十七,女,26.604840582093964,西安,产品部,P3,2017-02-18,,7.4,5115.296698841103,912.5283866213872,779.9392277944696,4866.202129805237,True,94.57102010552164,11.0,9.414860258647119,23.0,True,13244193987,lisi320@gmail.com
EMP1106,吴十,女,120.0,杭州,财务部,P3,16/01/2019,,5.5,9998.455639518263,1543.986453729698,337.7869696170951,5896.405751416648,True,82.36715248168878,15.0,6.150453606917651,17.0,no,19700141462,zhaoliu547@163.com
EMP1186,张三,男,24.99256450630897,广州市,市场部,P3,2022-02-03,,2.4,12382.943335466252,5531.8148692447185,299.48328205119014,7978.849250374808,True,74.0378898797856,7.0,10.0,21.0,True,17738923667,user255@company.com
EMP1143,沈十七,男,24.914086502140893,武汉,市场部,P3,2020-06-14,,4.0,9461.07243893358,1535.9163147062825,632.772817986335,8581.16835317583,True,79.89547856080871,12.0,6.629462315697664,19.0,True,18982971099,zhaoliu843@outlook.com
EMP1134,卫十五,男,46.72571172143204,北京,运营部,P1,2020-02-10,,4.4,13409.161776665145,5567.672500206509,592.646609340805,10980.108032850394,True,100.0,3.0,7.069822826658701,24.0,True,17923450567,zhaoliu647@company.com
EMP1102,韩十八,男,32.36248695839267,西安,技术部,P3,2018-11-21,,5.6,13584.797601536719,2376.507056742377,772.7935747321726,9670.314242296237,True,78.55096492656854,11.0,10.0,34.0,True,18361976301,user678@qq.com
EMP1085,钱七,女,42.705075855876736,上海,人事部,P1,2018-03-29,,6.3,0.01,,827.5305016798243,0.0019998359249579823,True,63.45549735621992,12.0,8.179294981905066,17.0,True,17147659674,user978@outlook.com
