user_id,education,contact
U141,本科,
130,大专,13268705685
USER_0052,硕士,
U147,硕士,17608668826
U138,本科,15951751830
ID-39,,
USER_0043,大专,18054033173
84,大专,18838546785
ID-134,本科,15287717535
ID-114,硕士,13993204899
USER_0030,本科,13535369378
ID-53,本科,15377725228
USER_0126,大专,17680801006
U024,大专,13720387509
131,硕士,
115,本科,17840862118
U015,大专,15998454615
USER_0117,硕士,13033410166
USER_0034,博士,18300217659
107,博士,17603397401
ID-133,博士,13002503926
142,本科,13493968562
119,博士,13350163159
87,博士,
USER_0104,硕士,13496194311
ID-40,大专,18826551104
USER_0093,本科,15341212678
3,,18710158199
ID-51,,13846618398
U033,硕士,13424447212
USER_0105,本科,18747154379
1,大专,18212406596
ID-96,硕士,
ID-28,,
USER_0075,本科,13693982807
U010,硕士,18941672434
U006,硕士,18961797968
55,硕士,17805891135
U045,博士,13996561014
U090,博士,13388993756
USER_0009,博士,15582507146
070,高中,18125457387
ID-8,硕士,
ID-110,,
USER_0061,硕士,15862266093
USER_0005,博士,18760334191
37,大专,15253714785
139,硕士,13169155792
ID-137,博士,13012513412
ID-99,大专,18466929662
USER_0018,博士,15528274225
USER_0101,博士,13950723688
USER_0083,硕士,15676772190
U094,本科,13943842797
98,博士,13691485807
54,大专,18713407451
USER_0048,高中,15333959629
U049,大专,18130958498
U058,本科,
124,本科,18022325367
U091,博士,13246671168
ID-11,本科,18275901751
88,硕士,15963745458
85,大专,13075001701
U109,硕士,18206324241
ID-100,本科,13752064361
143,高中,15971293870
112,本科,18116271361
016,,15154262218
23,高中,13127532697
U069,高中,17712196565
U122,,15713899940
ID-68,大专,18498364037
USER_0017,高中,15879180552
USER_0029,博士,18758271091
128,本科,15900684866
USER_0123,高中,13288924141
145,大专,18928569146
U060,高中,15816179904
U086,高中,13820275884
U113,本科,13541056481
ID-80,博士,13217785079
U111,本科,13441913800
140,大专,13975622086
U032,本科,15865419518
059,大专,15880617445
118,博士,18205349493
USER_0135,本科,13073832060
U127,博士,15205064138
U013,硕士,
ID-72,,13319182619
57,高中,18723445655
USER_0047,本科,15813291212
USER_0078,,15161853747
ID-108,高中,13724903521
U074,本科,18880442067
148,博士,15817121003
U144,大专,18165199410
027,大专,17772151070
U125,博士,18767066253
U050,,15772099934
USER_0002,硕士,17787014626
U082,,15880657875
14,博士,15164205930
ID-120,高中,18978593213
U007,本科,17803965223
73,本科,18959059929
U071,硕士,17842701039
U076,高中,
ID-44,高中,13829218515
USER_0004,博士,13654522675
U097,博士,15595392644
U103,,
26,大专,13291725135
ID-42,大专,13215704331
ID-129,,18910067626
USER_0092,硕士,
079,,15005411526
U136,高中,17815997062
77,硕士,13401533688
ID-63,本科,15031069872
056,本科,13861497310
U095,大专,13241714677
ID-102,高中,13286256527
019,,18274349021
089,本科,18986938068
USER_0146,,15679374160
20,博士,17789921722
U022,大专,13506163294
ID-25,高中,13768685487
U147,硕士,17608668826
USER_0030,本科,13535369378
ID-133,博士,13002503926
