name,department,product_category,salary,sales,region,date,income,score,email,value,age
林强,财务部,家电,18507,5827.93,西南,2015/8/30,36561.49,63.59,vtaqwlinke@gmail.com,277,42
赵六,销售部,食品,14098,168.39,华南,2019/7,,21.57,trhwilakz@163.com,367,29
马宁,技术部,家电,,4441.3,华中,2018/2/18,47930.03,18.83,tnbhjioamz@gmail.com,77,36
周明,销售部,家电,6424,9678.71,华南,2015/8/30,62542.32,28.09,,117,51
张三,销售部,家居,4416,2132.47,西南,,30219.38,16.34,invalid_email,486,33
高敏,运营部,家电,17483,,华北,2017/11/5 14:22,68133.45,68.59,saujl@gmail.com,179,47
孙丽,人事部,食品,12234,5562.88,华南,null,73068.07,63.19,,487,39
王五,人事部,数码,11714,8502.84,华东,2016/5/12,78401.43,15.84,xbawomfckl@qq.com,181,55
王五,市场部,美妆,24671,475.18,华北,2017/11/5 14:22,50551.09,97.92,npwqyrbfv@gmail.com,161,31
刘芳,技术部,家电,12939,4226.74,华东,2016/5/12,,48.92,cfozxqrkwy@sina.com,217,44
陈雪,市场部,家电,11849,6858.83,,2018/2/18,13020.35,6.83,vsbyoz@qq.com,451,28
徐婷,运营部,家电,8391,8077.64,华东,2018/2/18,13586.45,69.09,tjapkvu@gmail.com,295,53
陈雪,财务部,服饰,21296,5624.16,华中,2015/8/30,34184.98,92.51,pzfhkn@qq.com,274,38
赵六,财务部,美妆,27389,9687.66,华南,2017/11/5 14:22,6215.75,73.14,cztuspn@163.com,,49
赵六,运营部,家电,17177,2610.41,华中,2017/11/5,74184.02,,kmznw@qq.com,452,41
张三,技术部,服饰,12486,4903.75,东北,2015/8/30,65446.76,51.93,zvoiya@qq.com,198,57
马宁,技术部,数码,15430,9595.89,华南,1978/3/27,77600.19,82.41,iyegzhucxf@163.com,492,34
陈雪,人事部,家电,18435,5760.17,华北,2015/8/30,66659.25,105.93,xzhgtdljy@gmail.com,495,46
徐婷,市场部,食品,20744,2525.49,华北,1978/3/27,,62.39,eozkdvn@sina.com,39,52
周明,技术部,家电,29876,9859.72,西南,1978/3/27,58814.32,18.15,invalid_email,446,37
陈雪,技术部,美妆,28731,8974.19,东北,2017/11/5,45767.15,13.86,invalid_email,212,25
李四,运营部,服饰,25686,366.09,华东,2016/5/12 08:45,40117.3,103.65,vwben@qq.com,215,43
林强,市场部,服饰,16491,4616.94,华东,2015/8/30,28462.12,17.28,wseyjxhk@qq.com,162,50
王五,财务部,家电,6629,770.83,东北,2017/11/5,79790.44,35.61,,406,32
马宁,市场部,家电,8458,6614.41,西南,2018/2/18,65152.32,50.08,hdtkrc@sina.com,214,48
王五,技术部,家电,17506,5707.33,华南,1978/3/27,67055.36,67.01,gpfqmbcjwe@sina.com,87,54
周明,财务部,食品,7920,7308.61,华北,2017/11/5,46191.73,25.76,smdcpnaie@sina.com,112,30
吴杰,财务部,服饰,27799,2637.78,西南,2018/2/18,51847.41,26.58,uzcbfkt@qq.com,141,45
王五,技术部,家电,11536,6049.31,华东,2016/5/12 08:45,35953.56,93.35,jqawo@gmail.com,409,39
马宁,技术部,美妆,29910,3143.94,华南,1978/3/27,10053.53,41.5,ldcoipg@qq.com,131,56
黄伟,财务部,家电,13069,507.95,西南,2016/5/12,35087.02,97.77,invalid_email,124,27
王五,人事部,家电,19070,,西南,2016/5/12,6227.08,18.73,yxhgwbj@sina.com,18,49
李四,销售部,美妆,13800,3244.4,华北,2017/11/5,25943.67,92.66,duyqknf@163.com,68,33
郑浩,人事部,数码,9626,7758.76,华中,2017/11/5,49126.36,8.65,rscplixjdf@qq.com,159,41
王五,财务部,美妆,9517,7748.87,华中,2017/11/5 14:22,55401.43,20.33,iumte@163.com,331,52
赵六,运营部,食品,24686,8278.05,西南,2017/11/5 14:22,68876.76,46.83,esngdboyp@gmail.com,27,36
孙丽,运营部,食品,11357,4406.08,华南,1978/3/27,63346.21,63.38,gznoifd@sina.com,481,44
林强,销售部,家电,7482,9721.05,西南,2017/11/5,,44.54,lgytbhw@163.com,267,29
赵六,运营部,食品,26648,5732.62,西南,1978/3/27,25991.44,1.66,invalid_email,339,58
李四,市场部,数码,11081,4978.96,华北,2018/2/18,31310.87,59.99,oyphvirak@sina.com,65,37
孙丽,市场部,家电,20386,3412.76,华北,1978/3/27,22930.45,54.52,gujhv@qq.com,139,46
王五,财务部,美妆,22268,901.22,华北,2017/11/5,55645.62,33.47,lnbuzypow@qq.com,457,31
马宁,市场部,食品,17471,2052.81,华北,2016/5/12,73234.96,73.7,edqfwzb@gmail.com,162,53
